n_head,n_layer,n_embd,learning_rate,dropout,iteration,best_val_loss,best_val_loss_iter,best_train_loss,best_train_loss_iter
6,11,150,0.00033782169807767995,0.1390101738656238,100,0.007793383207172155,88,0.0064951629869432915,100
8,10,320,0.0005686705742063989,0.22027754497713253,104,0.007490067846245236,92,0.005106166820041835,102
10,3,340,4.128899629152929e-05,0.03666314661579906,174,0.007921980745676491,162,0.006480132035600643,174
8,5,400,2.3504892165461687e-05,0.31420478775338073,226,0.008108794120036893,214,0.0073732055671927,226
3,5,330,0.0002043869886749685,0.17324094551081948,146,0.007576838032239013,134,0.005491677542320556,144
3,9,390,0.00040510144164060153,0.23721352837921378,-1,-1,-1,-1,-1
1,12,390,0.00020961099781149185,0.051855411480782654,-1,-1,-1,-1,-1
6,8,180,0.000597696917508134,0.4476736768633778,80,0.008532980198247565,68,0.007881472042451302,68
6,6,420,0.00042517597869275815,0.13951732990326188,80,0.007518197616769208,68,0.005083117103721533,80
12,12,480,2.5585981621417187e-05,0.2551357795828389,-1,-1,-1,-1,-1
6,8,270,1.478810763427495e-05,0.2636355034605776,220,0.008402242532206906,208,0.0077924104407429695,216
12,2,180,0.0005509937456846504,0.19727083682028185,126,0.007929894555774,114,0.006844280688609514,126
1,4,190,0.0009579014877219806,0.2578262513705634,102,0.008012245616151227,90,0.006792188725537724,98
8,9,240,4.9601447027344125e-05,0.041436242510161536,214,0.007744140457361937,202,0.005547389000033339,214
1,11,470,4.593912788936026e-05,0.28208991598191147,-1,-1,-1,-1,-1
3,8,180,0.0005697702401110064,0.31131551273115654,114,0.0077542208859490026,102,0.006595905339862738,112
2,3,440,0.000790645720168109,0.12164286780602968,130,0.0075178489916854436,118,0.004815573571249843,130
3,9,420,0.0002413773118567701,0.1965769486620177,-1,-1,-1,-1,-1
6,3,450,0.00013562556851617357,0.3050845771998135,108,0.00795242666370339,96,0.006854960785454346,108
10,1,330,1.3720670622614241e-05,0.18455258296019972,210,0.009466981722248925,198,0.009008859529987805,210
8,1,480,0.0001674610537392014,0.1570789598968737,108,0.008355820137593482,96,0.007336530718021095,104
4,6,340,0.00015120513999613278,0.48860517908799483,108,0.008297486437691582,96,0.007566736273777981,108
1,8,150,0.0004536215741612167,0.2131984827268552,118,0.007790791905588574,106,0.00661123825961517,118
6,3,330,6.760861546713698e-05,0.03733218326950255,132,0.007936387115882503,120,0.0064696078188717365,132
1,4,220,0.00046754073923171584,0.3025769539938184,158,0.007884405656821199,146,0.006622768757450912,154
12,12,420,0.0008722607938468312,0.33713246848502043,-1,-1,-1,-1,-1
5,11,130,0.0007532878484436692,0.2999378050418486,72,0.008213553939842515,60,0.0075099586974829435,66
6,10,330,3.774104683402725e-05,0.20410046643915586,-1,-1,-1,-1,-1
6,4,300,0.00014657963972114024,0.13299948394474953,108,0.007769096590992477,96,0.006312371477381223,108
12,10,120,0.0005372222741148163,0.2669943443353799,210,0.007596642141126924,198,0.006186522026028898,198
6,9,210,4.4103558459337355e-05,0.1814275862211987,268,0.00778464771186312,256,0.006538762581638164,264
5,12,210,8.198527101256637e-05,0.45548606726975616,96,0.00873870076611638,84,0.008265479480744235,84
1,9,360,3.006462305597482e-05,0.22186724570916322,204,0.007795066986646917,192,0.006649767747148871,202
